Word,Frequency
united,18
states,17
holocaust,6
memorial,4
museum,5
interview,7
with,84
madeline,2
deutsch,3
may,7
preface,1
the,585
following,3
oral,2
history,3
testimony,1
result,2
videotaped,1
madelinedeutsch,1
conducted,2
linda,1
kuzmack,1
behalf,1
took,23
place,18
washington,1
and,795
part,12
collection,1
testimonies,1
rights,1
are,39
held,1
cannot,2
used,7
for,96
sale,2
shop,2
third,2
party,1
creation,1
work,16
commercial,1
reader,2
should,10
bear,1
mind,3
that,233
this,149
verbatim,1
transcript,3
spoken,1
rather,1
than,9
written,1
prose,1
has,3
been,6
neither,2
checked,1
spelling,1
nor,1
verified,1
accuracy,1
therefore,3
possible,4
there,121
errors,1
nothing,12
quoted,1
from,73
without,7
first,17
checking,1
against,10
taped,1
would,53
you,94
tell,12
your,20
name,5
please,3
mady,2
where,87
when,57
were,354
born,5
was,305
czechoslovakia,3
time,41
city,8
berehovo,1
april,4
about,47
family,27
well,13
very,84
close,5
loving,1
father,22
his,19
business,5
home,26
saw,18
him,18
quite,3
bit,15
during,8
day,25
went,42
school,23
mornings,3
afternoon,2
andspent,1
mother,41
who,54
homemaker,1
she,78
just,102
care,16
her,43
sole,1
job,10
had,114
brother,9
years,34
older,11
lived,16
small,11
call,2
ourselveslike,1
middle,1
income,1
all,91
comforts,1
needs,1
covered,3
away,18
summertime,1
into,49
mountains,2
vacationsduring,1
christmas,1
holiday,1
theholiday,1
easter,1
visited,3
some,57
different,10
citie,1
miles,4
cousins,3
come,33
our,48
house,11
exchangethese,1
visits,1
tight,2
knit,1
obviously,2
until,12
clock,6
afternoons,1
summer,1
friends,5
swimming,1
played,1
ball,1
area,9
within,9
neighborhood,2
theyused,1
each,11
other,24
homes,15
also,15
religious,1
which,25
right,17
after,36
saturday,2
hadreligion,1
but,71
more,13
theinstead,1
studying,2
werelearning,1
how,15
read,4
hebrew,3
early,4
stages,1
okay,2
then,70
later,17
antisemitism,2
became,4
worse,7
they,240
notthe,1
hungarian,8
government,4
not,44
cooperative,1
didn,45
want,15
learn,5
get,52
education,4
language,2
little,78
eliminated,1
say,8
heard,12
avid,1
newspapers,1
every,7
paper,1
available,2
radio,4
thatbut,1
television,1
listening,1
news,4
know,75
what,70
going,34
world,10
things,20
happening,10
even,12
rumors,2
ushmm,20
archives,20
people,91
escaped,1
poland,4
over,19
hungary,10
telling,2
horror,2
stories,2
werewhat,2
being,19
done,3
jews,8
nobody,7
believe,5
thought,5
somebody,12
lost,7
their,29
minds,1
such,3
neverthey,1
totally,1
disregarded,1
remember,6
these,83
conversations,1
only,28
parents,11
talking,4
year,6
old,12
child,10
still,19
playing,1
thinking,3
back,63
bits,1
pieces,2
information,4
coming,9
matter,4
fact,4
sisterthat,1
youngest,1
sibling,1
met,7
young,11
man,5
probably,3
maybe,22
familyemmigrated,1
came,25
around,6
visit,3
hometown,1
traveled,3
cities,1
aunt,6
beautiful,8
woman,5
mean,11
really,8
fell,5
love,2
decided,5
married,6
herwith,1
already,24
again,52
interfered,1
kinds,3
thingseverythings,1
happens,1
throughout,1
having,4
hard,6
trying,6
papers,8
able,14
certain,5
because,68
visa,4
expired,1
approved,1
yet,2
couldn,21
said,15
stay,5
will,14
try,18
make,10
arrangements,1
cleared,1
can,19
join,2
months,7
writing,1
budapest,1
prague,1
november,1
th,7
hungarians,1
dealing,1
two,17
governments,1
awful,5
lot,11
problems,1
could,45
accomplishwhat,1
set,1
out,42
clear,2
war,15
imminentyou,1
any,19
now,22
hours,11
everything,13
let,6
last,10
ship,2
before,8
broke,5
settled,1
pennsylvania,3
raised,1
life,20
course,11
happened,9
rest,2
europe,1
andthings,1
getting,13
country,2
anti,1
semitism,1
werebeing,1
arrested,1
falsely,1
accused,1
students,4
higher,2
called,14
numerus,1
klausus,2
number,2
allowed,7
theonly,1
way,28
grades,2
excellent,2
put,20
emphasis,1
good,13
learning,2
always,9
supervising,1
best,5
educa,1
tion,1
one,44
most,6
important,2
difficult,2
teachers,2
antisemitic,1
made,7
deserved,1
grade,1
subject,1
barely,1
passing,1
treated,2
like,39
grownups,1
adults,2
businesses,7
doctors,5
attorneys,1
professional,1
werewere,2
practice,2
profession,1
longer,8
trusted,1
aryan,3
race,1
something,13
super,1
special,4
jewish,6
take,24
them,47
takenaway,1
theythe,1
andwould,1
else,6
sort,3
run,2
owned,3
charge,6
worked,11
beneficiary,2
march,4
hitler,2
germans,12
invaded,3
bell,1
hear,3
guests,1
listen,4
point,19
undercoverings,1
draperies,1
drawn,1
completely,4
thethe,10
london,1
parts,4
law,2
somehow,4
watching,2
looking,8
outside,6
anythere,1
hungarianofficial,1
gendarmes,8
thepolice,1
anywhere,2
nearby,1
everywhere,2
germany,3
words,2
quote,1
end,7
unquote,1
those,21
did,33
truehow,1
truth,1
happen,4
anything,13
fear,2
have,44
readwhat,1
wasn,5
aware,2
afraid,3
sure,3
enough,6
couple,8
weeks,9
many,7
decrees,3
issued,1
ones,3
wear,1
yellow,1
star,1
outer,1
garment,1
front,16
streets,3
recognized,2
secondary,1
citizens,2
keep,6
eye,1
dark,4
dawn,2
visvisibl,1
strictly,1
enforcedall,1
theother,1
semiofficial,1
hospitals,2
taken,21
actually,5
andlittle,1
beginning,3
think,8
ghetto,6
here,14
german,10
cooperationwith,1
total,2
cooperation,1
police,11
morning,12
knocking,1
real,1
line,10
imagine,1
horrible,14
thing,10
children,9
screaming,1
told,23
few,7
minutes,3
suitcase,1
handbag,1
change,6
clothing,6
food,16
dry,1
piece,14
bread,12
theour,2
got,23
bag,1
bare,1
minimum,1
marched,7
down,20
several,9
areas,3
designated,1
ghettos,1
congregated,1
street,4
theback,1
yard,1
neighbor,1
makingbarrels,1
kind,4
store,1
wines,1
making,5
bigger,1
diffe,1
rent,1
ghettothey,1
brick,1
instead,4
ushered,1
buildings,1
staying,6
carportjust,1
covering,2
protect,6
somewhat,2
rain,2
sunshine,1
strong,1
sun,1
beds,3
blanket,1
herded,3
surrounded,2
fences,1
soldiers,6
surrounding,3
gettingwhen,1
belongings,3
under,5
whereunder,1
coverings,1
theselike,1
carports,1
erected,2
podium,2
stood,3
underneath,1
thesecarports,1
standing,8
barrels,5
buckets,6
along,8
moneyall,1
valuables,2
don,16
idea,5
putting,1
search,1
afterwards,2
find,5
much,4
penny,1
lined,10
walland,1
showed,1
wall,3
near,9
shot,7
birthday,3
worst,2
days,10
placed,3
everythingwhat,1
everythingall,2
guns,7
thembelts,1
revolvers,1
least,2
gun,1
shoulders,2
threatening,1
abiding,1
peaceful,1
nothi,1
ourselves,3
protecting,2
sense,1
although,2
tried,11
beaten,1
terrible,1
soldiersyou,1
everybody,11
off,16
jewelry,7
moneywhatever,1
money,7
pockets,2
however,1
wearing,1
watch,1
perhaps,3
since,1
wedding,3
band,1
realize,1
anymore,2
might,2
forgotten,1
among,4
werewas,1
searched,1
placing,1
found,16
amountlike,1
dollar,4
bill,1
vest,1
too,11
eyes,3
momentarily,1
apparently,6
werethe,2
given,13
orders,3
kill,2
use,5
scare,1
technics,1
follow,1
exactly,5
wished,1
wanted,15
collected,1
loots,1
goodies,2
released,2
happiest,1
moments,1
killed,13
happy,8
freed,1
camp,16
leave,2
cooperate,2
promised,1
rewards,1
theirfor,1
doing,8
times,4
cruel,1
prove,1
theythey,2
meant,4
saying,3
beating,2
necessary,1
felt,10
rewarded,1
railroad,3
station,2
long,5
train,5
waiting,2
ready,2
regular,2
cars,5
normally,5
travel,2
box,5
animals,3
transported,2
windows,4
either,6
side,9
fresh,6
air,6
manner,1
sparsely,1
comfortable,1
whatever,9
journey,3
taking,8
packed,5
herrings,1
sardines,1
room,9
move,4
practically,3
top,4
another,21
bucket,3
water,22
empty,2
personal,1
elimination,1
whole,4
car,2
full,3
tightly,2
person,11
reach,4
climb,4
betweenlet,1
sitting,3
wants,3
further,2
friend,2
traveling,6
nights,4
drop,2
hundred,2
drops,1
hot,4
crowded,1
bitty,1
night,4
cold,5
through,13
high,4
freezing,2
nighttime,2
daytime,1
horribly,5
look,3
see,25
knew,10
stopped,2
except,4
flames,2
distance,3
odor,2
burninglike,1
burning,1
flesh,1
wouldwhose,1
enter,1
howling,1
dogs,8
wait,5
voices,1
started,12
light,2
began,1
movement,1
insignia,1
sleeves,1
hats,1
waist,1
big,8
walking,1
speaking,1
shouting,1
finally,13
lightwires,1
barbed,1
wires,3
feet,10
acrosslike,1
electric,1
brought,5
bunch,1
men,17
grey,3
blue,1
striped,1
uniforms,2
flat,4
cart,3
wheels,1
handles,1
open,2
doors,3
trains,4
next,9
carts,1
uniformtold,1
fives,2
trainside,1
road,4
upon,1
carsthe,1
boxcars,1
remove,1
bodies,6
died,11
handle,1
heat,1
sick,12
heart,2
condition,1
infants,1
heatthey,1
countless,1
inmates,8
prior,3
russia,2
germanyjewspolitical,1
prisoners,1
agree,1
philosophy,1
labor,5
thetheir,1
dead,8
platform,1
wheeled,1
straight,4
crematorium,5
burned,1
stand,7
anybody,10
dared,1
dog,1
teared,1
apart,2
separated,2
women,12
peoplethese,1
whispering,1
arrived,3
