Word,Frequency
united,4
states,5
holocaust,4
memorial,4
museum,6
interview,8
with,131
hana,3
bruml,5
february,3
httpscollectionsushmmorg,29
contact,41
referenceushmmorg,29
for,152
further,29
information,29
about,70
this,134
collection,5
preface,1
the,767
following,2
oral,2
history,1
testimony,1
result,2
videotaped,1
conducted,1
linda,1
kuzmack,1
bruary,1
behalf,1
took,35
place,14
washington,1
and,805
part,7
testimonies,1
rights,1
are,37
held,3
cannot,8
used,11
sale,2
shop,3
third,2
party,2
creation,1
work,21
commercial,1
reader,1
should,6
bear,1
mind,6
that,236
verbatim,1
transcript,3
spoken,1
rather,3
than,3
written,2
prose,1
has,8
been,8
neither,1
checked,1
spelling,1
nor,1
verified,1
accuracy,1
therefore,3
possible,5
there,156
errors,1
nothing,5
quoted,1
from,75
without,3
first,26
checking,1
against,2
taped,1
technical,8
conversation,7
could,56
you,219
tell,11
your,23
name,25
please,1
hanna,8
where,38
when,86
were,307
born,4
was,566
prague,8
czechoslovakia,9
may,7
th,6
something,11
family,8
growing,3
very,84
fortunate,5
because,87
lived,14
grandmother,10
grandfather,10
same,7
house,3
only,49
child,12
mother,18
had,201
year,10
before,13
but,107
died,14
just,30
delivery,1
grandchild,1
all,82
memories,4
feel,1
warmly,1
him,45
three,22
months,5
birthday,8
nevertheless,8
simply,1
love,4
affair,2
would,46
watch,3
across,2
street,8
buy,5
his,31
cigars,3
virginki,2
which,36
means,6
they,205
tobacco,1
virginia,1
called,5
them,88
watched,3
cross,7
give,14
little,49
money,9
counter,2
bring,3
proudly,1
looked,12
after,17
able,25
early,3
childhood,2
really,20
pushed,2
independence,4
things,33
myself,9
remember,39
wooden,7
stool,1
crack,3
loved,1
peanuts,3
small,8
put,36
gave,20
mallet,1
push,1
have,64
open,1
these,43
nobody,8
told,29
went,66
walking,3
even,22
streets,3
coin,1
inside,2
penny,1
whatever,3
wasand,1
know,114
piece,10
candy,1
waited,1
outside,6
march,2
shortly,1
afterwards,1
came,67
poem,3
learn,2
tiny,6
poems,3
members,1
gift,3
their,18
birthdays,2
already,7
didn,64
respond,1
think,12
stroke,1
out,49
crying,1
kiss,1
say,15
thank,3
don,23
interesting,3
kind,13
rejection,1
thought,15
time,66
loving,1
she,142
her,84
five,33
days,10
mine,4
celebrated,2
more,22
less,4
together,15
always,12
kept,8
cake,1
one,113
who,73
stories,4
crawl,1
into,22
bed,15
fairy,1
tale,1
heard,4
fifty,2
times,3
wanted,10
hear,2
sixth,1
collectionushmm,26
archives,26
started,9
going,67
school,12
big,22
help,6
back,24
again,23
concerned,2
crossing,3
safely,2
got,45
complicated,1
many,24
ways,4
whom,6
patterned,1
life,10
hershe,1
orderly,1
closet,2
bag,4
white,4
shroud,2
knew,44
according,1
jewish,13
religion,2
how,31
ould,1
want,12
buried,5
grave,6
never,16
chance,1
use,9
though,6
sent,10
theresienstadt,35
czech,11
terezín,1
what,68
sort,12
thing,17
every,10
sunday,1
morning,2
stones,1
tradition,2
stone,4
not,55
theafter,1
returned,7
alwayswhen,1
since,1
gravestone,1
relatives,1
maintaining,1
man,15
neglected,1
least,3
memoriam,1
wished,1
grew,2
became,10
young,11
woman,21
schooling,1
like,34
friends,8
years,24
zionistic,1
religious,3
twenty,4
boys,4
ten,4
girls,12
hannas,1
popular,1
far,7
can,20
survived,11
recently,1
picture,4
second,5
fourth,1
grade,2
real,3
find,2
gymnasium,1
whi,1
academic,1
level,2
then,29
business,2
working,11
independent,1
quickly,1
father,11
led,2
eleven,4
twelve,9
old,13
collect,2
hisfrom,1
builders,1
payroll,2
beginning,3
girl,6
coming,11
call,8
said,32
yes,1
receipt,1
igned,1
idea,4
bringing,2
leading,1
pretty,9
much,28
sickly,5
frequent,1
pneumonias,1
six,14
miscarriages,1
live,5
birth,1
freely,1
almost,1
compensating,1
shy,1
enormously,1
heavy,5
thick,1
glasses,1
nearsighted,1
character,1
aunt,6
sister,7
outgoing,1
older,8
began,1
become,3
involved,2
men,20
age,4
wer,3
still,22
some,57
social,2
dancing,1
schools,1
long,11
dress,4
formalities,1
last,16
student,1
sixteen,3
nineteen,1
rudolph,3
schiff,5
rudla,4
seventeen,2
gates,1
closing,2
starting,1
getting,13
bad,6
married,5
november,1
city,2
hall,3
housing,1
home,6
evening,3
possibility,2
families,5
couple,7
blocks,1
away,8
problem,2
germans,12
cramped,1
quarters,2
parents,14
apartment,1
sub,1
divided,1
each,20
bedroom,1
given,5
another,17
ent,1
transport,27
camp,8
bedrooms,1
meantime,3
scarlet,10
fever,10
weeks,8
hospital,26
today,5
somebody,17
strep,1
throat,1
fine,4
infectious,3
until,7
peel,2
meant,7
isolationwhich,1
way,14
isolation,1
children,30
run,4
nuns,3
saidcame,1
get,39
off,9
beds,3
kneel,2
pray,2
nun,4
sorry,3
taught,5
did,37
follow,1
line,4
respected,1
sevenbarely,1
seven,10
while,11
brought,15
room,13
four,6
frankie,2
cute,1
lish,1
emigres,1
leaving,1
allow,7
wait,2
discharged,1
law,7
husband,10
margit,1
adopted,1
take,13
care,3
course,45
auschwitz,19
gas,4
difficulty,3
during,9
kinds,2
worse,7
terms,1
supplies,1
buying,1
food,16
places,2
meeting,1
star,2
closer,1
other,32
walked,14
slower,2
