Word,Frequency
again,2
forgot,6
waswas,1
bus,1
sleeping,4
wandering,1
sleep,2
andand,3
travel,1
ourself,1
pruzhany,1
pol,1
pruana,4
brestlitovsk,1
stop,2
table,5
everything,11
continue,1
closer,1
brotherlaw,8
mad,2
thethey,1
paragraph,2
translate,2
refugee,1
passport,2
stayed,6
cannot,3
kilometers,2
shouldn,1
population,1
restriction,1
leav,1
police,16
chief,6
code,1
guys,8
arre,1
jumped,4
window,3
ran,3
hid,1
aunt,3
doctor,2
france,1
before,11
sent,3
stuff,9
else,3
kid,1
doing,7
hiding,1
attic,1
cold,6
poli,1
face,6
arrest,2
smuggled,1
town,8
recommended,1
beyond,1
thisthey,1
baalegole,1
fellow,1
makes,2
goats,1
primitive,1
goat,1
food,13
probably,3
minutes,3
ith,1
try,2
leberwurst,2
liverwurst,1
roznau,1
farmers,2
guy,31
behind,3
cows,2
seen,3
collecting,1
cow,2
manure,1
fertilizing,1
arrived,1
yah,4
marryafter,1
become,1
citizen,1
camemaybe,1
visiting,1
ere,3
beds,1
across,3
morning,13
alot,1
imagine,2
business,1
electronic,1
shop,3
repairs,1
asks,1
own,2
grocery,1
stereotype,1
huh,2
exact,1
times,12
new,2
campaign,1
coincidental,1
draft,2
board,2
drafting,1
soldiers,2
ssian,1
army,5
real,5
strange,2
naked,9
most,1
measuring,1
edu,1
cation,1
electronics,1
lieutenant,2
friday,1
thursday,1
knock,1
door,2
drafted,2
meeti,1
move,3
tail,1
happen,2
movi,1
theatre,2
draftees,1
whatever,4
pig,1
stuck,1
snout,1
soviet,1
garden,1
attack,3
saturday,2
believe,6
movie,3
machine,8
guns,3
start,3
already,4
raids,4
panic,1
monday,1
russiangerman,1
tanks,1
run,8
ile,1
still,4
hitchhike,1
truck,1
turn,7
ghetto,5
sigh,1
short,1
beat,4
young,4
everyday,3
outsi,1
will,3
rationed,1
harassment,1
arrested,4
line,3
pregnant,1
stand,2
policeman,2
drag,1
jail,1
wear,1
glasses,4
anytime,2
dangerous,1
slap,1
putting,1
look,5
saidthe,1
making,5
eyes,3
nose,2
slapped,1
humanly,1
eventually,5
market,1
type,2
anybody,11
azy,1
nuts,1
shot,7
death,5
wagons,3
treblinka,2
camps,7
rumors,3
between,2
trains,5
idea,6
describe,1
inside,4
car,4
snow,5
familiar,1
areaand,1
loaded,1
trai,1
cars,3
calledfreight,1
finished,2
july,1
filled,1
standi,1
baby,2
towels,1
wrapped,1
head,8
bump,1
through,4
opening,1
much,4
antisemitism,1
hidden,1
prayer,1
younot,1
hopeless,2
escape,12
many,5
instances,1
helplessne,1
maybe,6
january,3
winter,1
bread,14
package,1
remained,1
transit,1
practically,1
dyingold,1
themselves,5
developed,1
thirst,2
stopped,3
every,9
raid,1
whistles,1
off,12
polacks,2
water,8
watch,5
dirty,1
ter,1
locomotive,1
somethingdirty,1
thirsty,2
dehydrated,1
reallypeople,1
