Word,Frequency
united,14
states,13
holocaust,8
memorial,4
museum,4
interview,6
michael,4
vogel,6
july,3
14,4
1989,3
rg,33
50,33
030,33
0240,33
preface,1
following,1
oral,2
history,1
testimony,1
result,2
videotaped,1
conducted,1
linda,1
kuzmack,1
behalf,1
took,30
place,11
washington,2
dc,1
part,14
collection,3
testimonies,1
rights,1
held,2
reader,1
bear,2
mind,3
verbatim,1
transcript,3
spoken,1
rather,1
written,1
prose,1
neither,2
checked,2
spelling,1
verified,1
accuracy,1
therefore,1
possible,3
errors,1
nothing,19
quoted,1
used,20
without,11
first,47
checking,1
taped,1
q,60
uh,106
would,208
please,4
give,13
name,47
date,3
birth,3
v,4
g,1
e,10
l,6
born,10
november,5
29th,2
1923,1
jacovce,3
j,1
c,7
czechoslovakia,12
tell,37
childhood,1
growing,1
like,51
come,26
family,11
parents,7
father,30
businessman,1
cattle,23
dealer,3
small,7
community,4
stayed,16
became,17
six,6
years,13
old,13
older,11
sister,17
younger,4
brother,12
moved,5
larger,2
called,38
topol_any,5
p,2
n,6
umlaut,2
ha_ek,3
reason,14
move,6
schools,3
wanted,9
put,30
us,156
school,4
lived,10
started,21
jewish,20
soon,7
two,48
children,9
names,9
moshe,1
call,26
umlat,1
mišo,2
rose,4
ro_i,2
r,4
z,2
quite,9
arpad,4
marta,2
little,22
baby,4
whose,7
maxmilian,2
fairly,1
happy,4
life,6
slovakia,13
well,34
region,2
slovak,3
slovaks,3
antisemitism,1
always,26
remember,26
play,7
soccer,4
kids,1
never,30
boys,42
catholic,1
jews,22
kind,8
games,2
got,79
along,2
one,97
could,48
get,28
stuck,2
ways,1
religious,1
especially,4
mother,17
even,15
bar,3
mitzvah,3
1936,1
grandparents,2
side,11
way,32
came,59
another,26
say,38
sixty,2
seventy,1
kilometers,2
maiden,2
feldman,1
grosse,1
shul,3
big,14
temple,2
rabbi,1
famous,2
guy,28
abraham,1
weiss,1
go,48
every,16
morning,10
course,50
went,29
except,4
sent,5
